system   D            wsystem.c:583  maybe_parent_dir                 [   0.00071] Also searching D:\CPP\ants\
display  D   display_settings.c:357  _al_score_display_settings       [   0.02947] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02948] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02949] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02950] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02951] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02952] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02953] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02954] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02955] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02956] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02957] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02959] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02960] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02961] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02962] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02963] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02964] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02965] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02966] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02967] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02968] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02969] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02970] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02971] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02972] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.02974] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02975] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02976] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02977] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02978] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02982] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02983] Score is : 769
